DATE,ASCMA
1945-10-01,7465.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,8765.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,10080.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,11196.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,11865.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,12486.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,13488.00
1952-01-01,13713.00
1952-04-01,13927.00
1952-07-01,14161.00
1952-10-01,14397.00
1953-01-01,14660.00
1953-04-01,14939.00
1953-07-01,15212.00
1953-10-01,15564.00
1954-01-01,15880.00
1954-04-01,16324.00
1954-07-01,16782.00
1954-10-01,17313.00
1955-01-01,17765.00
1955-04-01,18263.00
1955-07-01,18819.00
1955-10-01,19375.00
1956-01-01,19954.00
1956-04-01,20582.00
1956-07-01,21199.00
1956-10-01,21803.00
1957-01-01,22321.00
1957-04-01,22794.00
1957-07-01,23478.00
1957-10-01,24259.00
1958-01-01,24812.00
1958-04-01,25496.00
1958-07-01,26204.00
1958-10-01,27222.00
1959-01-01,27761.00
1959-04-01,28553.00
1959-07-01,29283.00
1959-10-01,30228.00
1960-01-01,30899.00
1960-04-01,31668.00
1960-07-01,32531.00
1960-10-01,33407.00
1961-01-01,34121.00
1961-04-01,35173.00
1961-07-01,36085.00
1961-10-01,37403.00
1962-01-01,38374.00
1962-04-01,39584.00
1962-07-01,40733.00
1962-10-01,42206.00
1963-01-01,43148.00
1963-04-01,44492.00
1963-07-01,45835.00
1963-10-01,47304.00
1964-01-01,47831.00
1964-04-01,48672.00
1964-07-01,49848.00
1964-10-01,51179.00
1965-01-01,51982.00
1965-04-01,53197.00
1965-07-01,54413.00
1965-10-01,55661.00
1966-01-01,57017.00
1966-04-01,58796.00
1966-07-01,60317.00
1966-10-01,61468.00
1967-01-01,62233.00
1967-04-01,63577.00
1967-07-01,64924.00
1967-10-01,66249.00
1968-01-01,67543.00
1968-04-01,69114.00
1968-07-01,70927.00
1968-10-01,73019.00
1969-01-01,74367.00
1969-04-01,75792.00
1969-07-01,77271.00
1969-10-01,79051.00
1970-01-01,78950.00
1970-04-01,81253.00
1970-07-01,84057.00
1970-10-01,86503.00
1971-01-01,87700.00
1971-04-01,90090.00
1971-07-01,93327.00
1971-10-01,96983.00
1972-01-01,100034.00
1972-04-01,104306.00
1972-07-01,108330.00
1972-10-01,114168.00
1973-01-01,118253.00
1973-04-01,124008.00
1973-07-01,129035.00
1973-10-01,133706.00
1974-01-01,137455.00
1974-04-01,142377.00
1974-07-01,145045.00
1974-10-01,148279.00
1975-01-01,150411.00
1975-04-01,153431.00
1975-07-01,157058.00
1975-10-01,161019.00
1976-01-01,163221.00
1976-04-01,166345.00
1976-07-01,170146.00
1976-10-01,174189.00
1977-01-01,177453.00
1977-04-01,180348.00
1977-07-01,185795.00
1977-10-01,193261.00
1978-01-01,197958.00
1978-04-01,203343.00
1978-07-01,208876.00
1978-10-01,214511.00
1979-01-01,219175.00
1979-04-01,225711.00
1979-07-01,233353.00
1979-10-01,239448.00
1980-01-01,243912.00
1980-04-01,248864.00
1980-07-01,253808.00
1980-10-01,259903.00
1981-01-01,267511.00
1981-04-01,278496.00
1981-07-01,288922.00
1981-10-01,299685.00
1982-01-01,306619.00
1982-04-01,315647.00
1982-07-01,324780.00
1982-10-01,333680.00
1983-01-01,346330.00
1983-04-01,360215.00
1983-07-01,373975.00
1983-10-01,389424.00
1984-01-01,408654.00
1984-04-01,429688.00
1984-07-01,451779.00
1984-10-01,471898.00
1985-01-01,487050.00
1985-04-01,505953.00
1985-07-01,522126.00
1985-10-01,541661.00
1986-01-01,554231.00
1986-04-01,565823.00
1986-07-01,579130.00
1986-10-01,601970.00
1987-01-01,639606.00
1987-04-01,655668.00
1987-07-01,668224.00
1987-10-01,691647.00
1988-01-01,705639.00
1988-04-01,727702.00
1988-07-01,738348.00
1988-10-01,763743.00
1989-01-01,779985.00
1989-04-01,786638.00
1989-07-01,796137.00
1989-10-01,798235.00
1990-01-01,808419.00
1990-04-01,812186.00
1990-07-01,815867.00
1990-10-01,817591.00
1991-01-01,825099.00
1991-04-01,829370.00
1991-07-01,817447.00
1991-10-01,804420.00
1992-01-01,795227.00
1992-04-01,789534.00
1992-07-01,777806.00
1992-10-01,759930.00
1993-01-01,752788.0
1993-04-01,743703.0
1993-07-01,737926.0
1993-10-01,734180.0
1994-01-01,725680.0
1994-04-01,725282.0
1994-07-01,725311.0
1994-10-01,719231.0
1995-01-01,724531.0
1995-04-01,726781.0
1995-07-01,729279.0
1995-10-01,729537.0
1996-01-01,736829.0
1996-04-01,746210.0
1996-07-01,746582.0
1996-10-01,758897.0
1997-01-01,766280.0
1997-04-01,782946.0
1997-07-01,799501.0
1997-10-01,821129.0
1998-01-01,834168.0
1998-04-01,852975.0
1998-07-01,874640.0
1998-10-01,909792.0
1999-01-01,934541.0
1999-04-01,957316.0
1999-07-01,1014748.0
1999-10-01,1046032.0
2000-01-01,1072712.0
2000-04-01,1102802.0
2000-07-01,1124561.0
2000-10-01,1152450.0
2001-01-01,1133668.0
2001-04-01,1155978.0
2001-07-01,1193288.0
2001-10-01,1237440.0
2002-01-01,1251580.0
2002-04-01,1279367.0
2002-07-01,1307081.0
2002-10-01,1342599.0
2003-01-01,1365435.0
2003-04-01,1398299.0
2003-07-01,1434189.0
2003-10-01,1461587.0
2004-01-01,1506868.0
2004-04-01,1545271.0
2004-07-01,1592962.0
2004-10-01,1649635.0
2005-01-01,1686607.0
2005-04-01,1750631.0
2005-07-01,1808801.0
2005-10-01,1885255.0
2006-01-01,1952116.0
2006-04-01,2014185.0
2006-07-01,2086332.0
2006-10-01,2169219.0
2007-01-01,2213101.0
