DATE,ASFMA
1945-10-01,4760.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,4897.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,5064.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,5288.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,5579.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,6071.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,6651.00
1952-01-01,6814.00
1952-04-01,7021.00
1952-07-01,7134.00
1952-10-01,7236.00
1953-01-01,7396.00
1953-04-01,7587.00
1953-07-01,7667.00
1953-10-01,7737.00
1954-01-01,7916.00
1954-04-01,8116.00
1954-07-01,8187.00
1954-10-01,8246.00
1955-01-01,8472.00
1955-04-01,8707.00
1955-07-01,8866.00
1955-10-01,9022.00
1956-01-01,9291.00
1956-04-01,9589.00
1956-07-01,9759.00
1956-10-01,9835.00
1957-01-01,10033.00
1957-04-01,10231.00
1957-07-01,10348.00
1957-10-01,10397.00
1958-01-01,10524.00
1958-04-01,10754.00
1958-07-01,10957.00
1958-10-01,11109.00
1959-01-01,11357.00
1959-04-01,11744.00
1959-07-01,11948.00
1959-10-01,12101.00
1960-01-01,12271.00
1960-04-01,12559.00
1960-07-01,12697.00
1960-10-01,12838.00
1961-01-01,13063.00
1961-04-01,13437.00
1961-07-01,13737.00
1961-10-01,13917.00
1962-01-01,14222.00
1962-04-01,14674.00
1962-07-01,14944.00
1962-10-01,15193.00
1963-01-01,15561.00
1963-04-01,16151.00
1963-07-01,16573.00
1963-10-01,16822.00
1964-01-01,17334.00
1964-04-01,18068.00
1964-07-01,18536.00
1964-10-01,18942.00
1965-01-01,19474.00
1965-04-01,20184.00
1965-07-01,20697.00
1965-10-01,21187.00
1966-01-01,21697.00
1966-04-01,22321.00
1966-07-01,22775.00
1966-10-01,23052.00
1967-01-01,23440.00
1967-04-01,23993.00
1967-07-01,24546.00
1967-10-01,25017.00
1968-01-01,25623.00
1968-04-01,26387.00
1968-07-01,26836.00
1968-10-01,27177.00
1969-01-01,27647.00
1969-04-01,28342.00
1969-07-01,28752.00
1969-10-01,28995.00
1970-01-01,29592.00
1970-04-01,29922.00
1970-07-01,30241.00
1970-10-01,30492.00
1971-01-01,30823.00
1971-04-01,31786.00
1971-07-01,32115.00
1971-10-01,32381.00
1972-01-01,33096.00
1972-04-01,34109.00
1972-07-01,34855.00
1972-10-01,35361.00
1973-01-01,36490.00
1973-04-01,37961.00
1973-07-01,38952.00
1973-10-01,39806.00
1974-01-01,40694.00
1974-04-01,42318.00
1974-07-01,43737.00
1974-10-01,44922.00
1975-01-01,46785.00
1975-04-01,48530.00
1975-07-01,49084.00
1975-10-01,49853.00
1976-01-01,50797.00
1976-04-01,52310.00
1976-07-01,53921.00
1976-10-01,55412.00
1977-01-01,57380.00
1977-04-01,60338.00
1977-07-01,62366.00
1977-10-01,63949.00
1978-01-01,65949.00
1978-04-01,68742.00
1978-07-01,71045.00
1978-10-01,72757.00
1979-01-01,76434.00
1979-04-01,80935.00
1979-07-01,84333.00
1979-10-01,86755.00
1980-01-01,90582.00
1980-04-01,94135.00
1980-07-01,95871.00
1980-10-01,97487.00
1981-01-01,100097.00
1981-04-01,103181.00
1981-07-01,105609.00
1981-10-01,107229.00
1982-01-01,108951.00
1982-04-01,110282.00
1982-07-01,111097.00
1982-10-01,111311.00
1983-01-01,111540.00
1983-04-01,112372.00
1983-07-01,113108.00
1983-10-01,113721.00
1984-01-01,112970.00
1984-04-01,113339.00
1984-07-01,113467.00
1984-10-01,112422.00
1985-01-01,112722.00
1985-04-01,111579.00
1985-07-01,108737.00
1985-10-01,94090.00
1986-01-01,91624.00
1986-04-01,89130.00
1986-07-01,86609.00
1986-10-01,84088.00
1987-01-01,82047.00
1987-04-01,79983.00
1987-07-01,77896.00
1987-10-01,75810.00
1988-01-01,74572.00
1988-04-01,73333.00
1988-07-01,72081.00
1988-10-01,70829.00
1989-01-01,70320.00
1989-04-01,69804.00
1989-07-01,69283.00
1989-10-01,68761.00
1990-01-01,68483.00
1990-04-01,68202.00
1990-07-01,67917.00
1990-10-01,67633.00
1991-01-01,67588.00
1991-04-01,67542.00
1991-07-01,67496.00
1991-10-01,67450.00
1992-01-01,67557.00
1992-04-01,67663.00
1992-07-01,67771.00
1992-10-01,67879.00
1993-01-01,68016.00
1993-04-01,68154.00
1993-07-01,68293.00
1993-10-01,68433.00
1994-01-01,68797.00
1994-04-01,69166.00
1994-07-01,69539.00
1994-10-01,69912.00
1995-01-01,70358.00
1995-04-01,70810.00
1995-07-01,71266.00
1995-10-01,71723.00
1996-01-01,72394.00
1996-04-01,73065.00
1996-07-01,73744.00
1996-10-01,74422.00
1997-01-01,75431.00
1997-04-01,76451.00
1997-07-01,77482.00
1997-10-01,78514.00
1998-01-01,79645.00
1998-04-01,80788.00
1998-07-01,81944.00
1998-10-01,83100.00
1999-01-01,84113.00
1999-04-01,85136.00
1999-07-01,86171.00
1999-10-01,87206.00
2000-01-01,86589.00
2000-04-01,85972.00
2000-07-01,85348.00
2000-10-01,84724.00
2001-01-01,85665.00
2001-04-01,86617.00
2001-07-01,87579.00
2001-10-01,88541.00
2002-01-01,90238.00
2002-04-01,91954.00
2002-07-01,93688.00
2002-10-01,95423.00
2003-01-01,92406.00
2003-04-01,89355.00
2003-07-01,86271.00
2003-10-01,83187.00
2004-01-01,86286.00
2004-04-01,89386.00
2004-07-01,92519.00
2004-10-01,95653.00
2005-01-01,97901.00
2005-04-01,100173.00
2005-07-01,102471.00
2005-10-01,104768.00
2006-01-01,105577.00
2006-04-01,106395.00
2006-07-01,107221.00
2006-10-01,108048.00
2007-01-01,109191.00
2007-04-01,110346.00
2007-07-01,111514.00
2007-10-01,112682.00
2008-01-01,118148.00
2008-04-01,123614.00
2008-07-01,129141.00
2008-10-01,134700.00
2009-01-01,137486.00
2009-04-01,140304.00
2009-07-01,143152.00
2009-10-01,146000.00
2010-01-01,147997.00
2010-04-01,150017.00
2010-07-01,152058.00
2010-10-01,154100.00
2011-01-01,157330.00
2011-04-01,160596.00
2011-07-01,163898.00
2011-10-01,167200.00
2012-01-01,168742.00
2012-04-01,170283.00
2012-07-01,171842.00
2012-10-01,173400.00
2013-01-01,176310.00
2013-04-01,179252.00
2013-07-01,182226.00
2013-10-01,185200.00
2014-01-01,188060.00
2014-04-01,190952.00
2014-07-01,193876.00
2014-10-01,196800.00
2015-01-01,199759.00
2015-04-01,202751.00
2015-07-01,205775.00
2015-10-01,208800.00
2016-01-01,213077.00
2016-04-01,217353.00
2016-07-01,221677.00
2016-10-01,226000.00
2017-01-01,228515.0
2017-04-01,231058.0
2017-07-01,233629.0
2017-10-01,236200.0
2018-01-01,238542.0
2018-04-01,240911.0
2018-07-01,243305.0
2018-10-01,245700.0
2019-01-01,251174.0
2019-04-01,256709.0
2019-07-01,262304.0
2019-10-01,267900.0
2020-01-01,273047.0
2020-04-01,278193.0
2020-07-01,283397.0
2020-10-01,288600.0
2021-01-01,291830.0
2021-04-01,295096.0
2021-07-01,298398.0
2021-10-01,301700.0
