DATE,ASMRMA
1945-10-01,4922.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,5270.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,5787.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,6662.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,7829.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,9301.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,10642.00
1952-01-01,10820.00
1952-04-01,11037.00
1952-07-01,11275.00
1952-10-01,11481.00
1953-01-01,11587.00
1953-04-01,11766.00
1953-07-01,11934.00
1953-10-01,12121.00
1954-01-01,12174.00
1954-04-01,12312.00
1954-07-01,12452.00
1954-10-01,12665.00
1955-01-01,12782.00
1955-04-01,12989.00
1955-07-01,13179.00
1955-10-01,13490.00
1956-01-01,13657.00
1956-04-01,13827.00
1956-07-01,13972.00
1956-10-01,14064.00
1957-01-01,14085.00
1957-04-01,14182.00
1957-07-01,14379.00
1957-10-01,14611.00
1958-01-01,15025.00
1958-04-01,15517.00
1958-07-01,16020.00
1958-10-01,16565.00
1959-01-01,17132.00
1959-04-01,17679.00
1959-07-01,18212.00
1959-10-01,18700.00
1960-01-01,19199.00
1960-04-01,19702.00
1960-07-01,20293.00
1960-10-01,20786.00
1961-01-01,21424.00
1961-04-01,21943.00
1961-07-01,22790.00
1961-10-01,23622.00
1962-01-01,24218.00
1962-04-01,24937.00
1962-07-01,25769.00
1962-10-01,26732.00
1963-01-01,27382.00
1963-04-01,28202.00
1963-07-01,28994.00
1963-10-01,30024.00
1964-01-01,30936.00
1964-04-01,32095.00
1964-07-01,33313.00
1964-10-01,34578.00
1965-01-01,35384.00
1965-04-01,36300.00
1965-07-01,37243.00
1965-10-01,38213.00
1966-01-01,39187.00
1966-04-01,40075.00
1966-07-01,40708.00
1966-10-01,41275.00
1967-01-01,41968.00
1967-04-01,42801.00
1967-07-01,43748.00
1967-10-01,44815.00
1968-01-01,45477.00
1968-04-01,46242.00
1968-07-01,47141.00
1968-10-01,48251.00
1969-01-01,49196.00
1969-04-01,50352.00
1969-07-01,51512.00
1969-10-01,53176.00
1970-01-01,53467.00
1970-04-01,55054.00
1970-07-01,57668.00
1970-10-01,60129.00
1971-01-01,62312.00
1971-04-01,65052.00
1971-07-01,67399.00
1971-10-01,70094.00
1972-01-01,72680.00
1972-04-01,76046.00
1972-07-01,78834.00
1972-10-01,82876.00
1973-01-01,84593.00
1973-04-01,87957.00
1973-07-01,91127.00
1973-10-01,93191.00
1974-01-01,95355.00
1974-04-01,97221.00
1974-07-01,98933.00
1974-10-01,100049.00
1975-01-01,100586.00
1975-04-01,100735.00
1975-07-01,100820.00
1975-10-01,100693.00
1976-01-01,102169.00
1976-04-01,103607.00
