DATE,FGDSLAQ027S
1945-10-01,254385
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,231306
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,224898
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,220012
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,223629
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,223234
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,223506
1952-01-01,222201
1952-04-01,222032
1952-07-01,225653
1952-10-01,229829
1953-01-01,226911
1953-04-01,226926
1953-07-01,233608
1953-10-01,237379
1954-01-01,233493
1954-04-01,232735
1954-07-01,234566
1954-10-01,240195
1955-01-01,236080
1955-04-01,234433
1955-07-01,236252
1955-10-01,240077
1956-01-01,235799
1956-04-01,230350
1956-07-01,231549
1956-10-01,235039
1957-01-01,233391
1957-04-01,227347
1957-07-01,231295
1957-10-01,233144
1958-01-01,232192
1958-04-01,234625
1958-07-01,235401
1958-10-01,242842
1959-01-01,242477
1959-04-01,243070
1959-07-01,247259
1959-10-01,250333
1960-01-01,246581
1960-04-01,244884
1960-07-01,246289
1960-10-01,248820
1961-01-01,246835
1961-04-01,247672
1961-07-01,252852
1961-10-01,256702
1962-01-01,257378
1962-04-01,258002
1962-07-01,258460
1962-10-01,264310
1963-01-01,265011
1963-04-01,265537
1963-07-01,265321
1963-10-01,269212
1964-01-01,269465
1964-04-01,269020
1964-07-01,271891
1964-10-01,276483
1965-01-01,276404
1965-04-01,273954
1965-07-01,273152
1965-10-01,279407
1966-01-01,279974
1966-04-01,276740
1966-07-01,278130
1966-10-01,284318
1967-01-01,286804
1967-04-01,279856
1967-07-01,288270
1967-10-01,298642
1968-01-01,304382
1968-04-01,301984
1968-07-01,309736
1968-10-01,312565
1969-01-01,312746
1969-04-01,301369
1969-07-01,306203
1969-10-01,311010
1970-01-01,312982
1970-04-01,308576
1970-07-01,316086
1970-10-01,325529
1971-01-01,327608
1971-04-01,331157
1971-07-01,340295
1971-10-01,353319
1972-01-01,357305
1972-04-01,353417
1972-07-01,358627
1972-10-01,371410
1973-01-01,379432
1973-04-01,375107
1973-07-01,373692
1973-10-01,380560
1974-01-01,383530
1974-04-01,381384
1974-07-01,384868
1974-10-01,395294
1975-01-01,414727
1975-04-01,436626
1975-07-01,459039
1975-10-01,484853
1976-01-01,508438
1976-04-01,524055
1976-07-01,540824
1976-10-01,558730
1977-01-01,575265
1977-04-01,575703
1977-07-01,601311
1977-10-01,621737
1978-01-01,640974
1978-04-01,644960
1978-07-01,665986
1978-10-01,681346
1979-01-01,689699
1979-04-01,686724
1979-07-01,706688
1979-10-01,725255
1980-01-01,740698
1980-04-01,748317
1980-07-01,785643
1980-10-01,811634
1981-01-01,843025
1981-04-01,841914
1981-07-01,871221
1981-10-01,907217
1982-01-01,936752
1982-04-01,947862
1982-07-01,1017401
1982-10-01,1080707
1983-01-01,1133632
1983-04-01,1182806
1983-07-01,1242288
1983-10-01,1280539
1984-01-01,1327434
1984-04-01,1361995
1984-07-01,1428763
1984-10-01,1496316
1985-01-01,1547453
1985-04-01,1597297
1985-07-01,1658020
1985-10-01,1761942
1986-01-01,1797058
1986-04-01,1853824
1986-07-01,1922764
1986-10-01,2007511
1987-01-01,2032489
1987-04-01,2070146
1987-07-01,2105953
1987-10-01,2181693
1988-01-01,2218897
1988-04-01,2245357
1988-07-01,2298425
1988-10-01,2369599
1989-01-01,2402753
1989-04-01,2420771
1989-07-01,2471490
1989-10-01,2550509
1990-01-01,2604040
1990-04-01,2648417
1990-07-01,2725169
1990-10-01,2830760
1991-01-01,2875416
1991-04-01,2927919
1991-07-01,3037866
1991-10-01,3147353
1992-01-01,3224421
1992-04-01,3297683
1992-07-01,3388744
1992-10-01,3491123
1993-01-01,3542998
1993-04-01,3613614
1993-07-01,3674507
1993-10-01,3784327
1994-01-01,3827640
1994-04-01,3844792
1994-07-01,3896168
1994-10-01,3977819
1995-01-01,4034810
1995-04-01,4070411
1995-07-01,4105024
1995-10-01,4143073
1996-01-01,4228059
1996-04-01,4216402
1996-07-01,4268808
1996-10-01,4343081
1997-01-01,4381251
1997-04-01,4321557
1997-07-01,4347737
1997-10-01,4406492
1998-01-01,4421163
1998-04-01,4350424
1998-07-01,4336375
1998-10-01,4395086
1999-01-01,4392185
1999-04-01,4294362
1999-07-01,4290764
1999-10-01,4365000
2000-01-01,4326404
2000-04-01,4147231
2000-07-01,4107482
2000-10-01,4090025
2001-01-01,4122030
2001-04-01,3976229
2001-07-01,4058181
2001-10-01,4145237
2002-01-01,4183973
2002-04-01,4213894
2002-07-01,4314504
2002-10-01,4427328
2003-01-01,4468372
2003-04-01,4585543
2003-07-01,4702629
2003-10-01,4848035
2004-01-01,4970105
2004-04-01,5018844
2004-07-01,5117264
2004-10-01,5250883
2005-01-01,5403995
2005-04-01,5356972
2005-07-01,5443776
2005-10-01,5584775
2006-01-01,5726756
2006-04-01,5656530
2006-07-01,5714828
2006-10-01,5803923
2007-01-01,5940824
2007-04-01,5819983
2007-07-01,5941940
2007-10-01,6074315
2008-01-01,6259453
2008-04-01,6217605
2008-07-01,6762926
2008-10-01,7376817
2009-01-01,7820167
2009-04-01,8162894
2009-07-01,8557508
2009-10-01,8882645
2010-01-01,9343729
2010-04-01,9692462
2010-07-01,10099248
2010-10-01,10528562
2011-01-01,10774648
2011-04-01,10780701
2011-07-01,11276944
2011-10-01,11667250
2012-01-01,12049105
2012-04-01,12253605
2012-07-01,12503109
2012-10-01,12847828
2013-01-01,13195652
2013-04-01,13091208
2013-07-01,13143414
2013-10-01,13705127
2014-01-01,13954551
2014-04-01,13911001
2014-07-01,14141265
2014-10-01,14441054
2015-01-01,14458989
2015-04-01,14378051
2015-07-01,14400815
2015-10-01,15165626
2016-01-01,15401755
2016-04-01,15409707
2016-07-01,15668297
2016-10-01,16008291
2017-01-01,15897987
2017-04-01,15822700
2017-07-01,16255106
2017-10-01,16455261
2018-01-01,17070617.0
2018-04-01,17114196.0
2018-07-01,17440621.0
2018-10-01,17865026.0
2019-01-01,17928466.0
2019-04-01,17836285.0
2019-07-01,18593136.0
2019-10-01,19039898.0
2020-01-01,19539608.0
2020-04-01,22391682.0
2020-07-01,22920579.0
2020-10-01,23621060.0
2021-01-01,23962809.0
2021-04-01,24321359.0
2021-07-01,24269411.0
2021-10-01,25304484.0
