DATE,MTSO133FMS
1980-10-01,55843
1980-11-01,48083
1980-12-01,50869
1981-01-01,63339
1981-02-01,53749
1981-03-01,53938
1981-04-01,56999
1981-05-01,54414
1981-06-01,55066
1981-07-01,58172
1981-08-01,52788
1981-09-01,53944
1981-10-01,63573
1981-11-01,54959
1981-12-01,76875
1982-01-01,45930
1982-02-01,57822
1982-03-01,63546
1982-04-01,66073
1982-05-01,55683
1982-06-01,59629
1982-07-01,64506
1982-08-01,59628
1982-09-01,61403
1982-10-01,66708
1982-11-01,66166
1982-12-01,72436
1983-01-01,67087
1983-02-01,64152
1983-03-01,69540
1983-04-01,69542
1983-05-01,63040
1983-06-01,63116
1983-07-01,65360
1983-08-01,67160
1983-09-01,61610
1983-10-01,70226
1983-11-01,67794
1983-12-01,74705
1984-01-01,68052
1984-02-01,68267
1984-03-01,73020
1984-04-01,68687
1984-05-01,71391
1984-06-01,71283
1984-07-01,68432
1984-08-01,88707
1984-09-01,51234
1984-10-01,80260
1984-11-01,80390
1984-12-01,76971
1985-01-01,78446
1985-02-01,75101
1985-03-01,79115
1985-04-01,83214
1985-05-01,81791
1985-06-01,73559
1985-07-01,79183
1985-08-01,83378
1985-09-01,74575
1985-10-01,84973
1985-11-01,84551
1985-12-01,82853
1986-01-01,83189
1986-02-01,77950
1986-03-01,79700
1986-04-01,81510
1986-05-01,85642
1986-06-01,78067
1986-07-01,85278
1986-08-01,84579
1986-09-01,81939
1986-10-01,84302
1986-11-01,80054
1986-12-01,90404
1987-01-01,83928
1987-02-01,83842
1987-03-01,84446
1987-04-01,84155
1987-05-01,83328
1987-06-01,83568
1987-07-01,86562
1987-08-01,82009
1987-09-01,77206
1987-10-01,93105
1987-11-01,83937
1987-12-01,109833
1988-01-01,65844
1988-02-01,84344
1988-03-01,94947
1988-04-01,95497
1988-05-01,82218
1988-06-01,90006
1988-07-01,83549
1988-08-01,92468
1988-09-01,87569
1988-10-01,90587
1988-11-01,93470
1988-12-01,106446
1989-01-01,86509
1989-02-01,89769
1989-03-01,103988
1989-04-01,88237
1989-05-01,96458
1989-06-01,100464
1989-07-01,84428
1989-08-01,98286
1989-09-01,105378
1989-10-01,94503
1989-11-01,100906
1989-12-01,103893
1990-01-01,91242
1990-02-01,100348
1990-03-01,118128
1990-04-01,97775
1990-05-01,111668
1990-06-01,121706
1990-07-01,98253
1990-08-01,131181
1990-09-01,82171
1990-10-01,108350
1990-11-01,118230
1990-12-01,109287
1991-01-01,99062
1991-02-01,93848
1991-03-01,105978
1991-04-01,110371
1991-05-01,116926
1991-06-01,105968
1991-07-01,119424
1991-08-01,120075
1991-09-01,116237
1991-10-01,114659
1991-11-01,117779
1991-12-01,106170
1992-01-01,119699
1992-02-01,111927
1992-03-01,122839
1992-04-01,123748
1992-05-01,108957
1992-06-01,117096
1992-07-01,122197
1992-08-01,102843
1992-09-01,112879
1992-10-01,125620
1992-11-01,107355
1992-12-01,152633
1993-01-01,82899
1993-02-01,114477
1993-03-01,127263
1993-04-01,124200
1993-05-01,107605
1993-06-01,117471
1993-07-01,120207
1993-08-01,109815
1993-09-01,118987
1993-10-01,124085
1993-11-01,121483
1993-12-01,133108
1994-01-01,107713
1994-02-01,114752
1994-03-01,125422
1994-04-01,123867
1994-05-01,115597
1994-06-01,123269
1994-07-01,118020
1994-08-01,121608
1994-09-01,131628
1994-10-01,120441
1994-11-01,124991
1994-12-01,135689
1995-01-01,116243
1995-02-01,120977
1995-03-01,143152
1995-04-01,115751
1995-05-01,130035
1995-06-01,135131
1995-07-01,106406
1995-08-01,130489
1995-09-01,136107
1995-10-01,118352
1995-11-01,128538
1995-12-01,133064
1996-01-01,123543
1996-02-01,133775
1996-03-01,136158
1996-04-01,131064
1996-05-01,143173
1996-06-01,117655
1996-07-01,130749
1996-08-01,141828
1996-09-01,122412
1996-10-01,139461
1996-11-01,135728
