DATE,NCBLL
1945-10-01,20653.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,24894.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,28937.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,30674.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,29358.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,33734.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,38807.00
1952-01-01,38567.00
1952-04-01,38123.00
1952-07-01,38712.0
1952-10-01,40270.00
1953-01-01,40877.00
1953-04-01,40787.00
1953-07-01,41191.00
1953-10-01,40838.00
1954-01-01,40851.0
1954-04-01,39943.0
1954-07-01,39583.0
1954-10-01,40765.00
1955-01-01,41165.00
1955-04-01,42227.0
1955-07-01,43249.00
1955-10-01,46290.00
1956-01-01,48255.0
1956-04-01,49747.0
1956-07-01,50342.0
1956-10-01,52543.00
1957-01-01,53682.00
1957-04-01,55042.00
1957-07-01,54972.0
1957-10-01,56138.00
1958-01-01,55705.0
1958-04-01,55463.0
1958-07-01,55019.0
1958-10-01,57592.00
1959-01-01,57891.00
1959-04-01,60298.00
1959-07-01,60633.00
1959-10-01,63536.00
1960-01-01,65097.00
1960-04-01,66747.00
1960-07-01,66250.0
1960-10-01,68607.00
1961-01-01,68327.0
1961-04-01,68435.00
1961-07-01,68112.00
1961-10-01,71282.00
1962-01-01,71195.0
1962-04-01,73147.00
1962-07-01,73801.0
1962-10-01,77625.00
1963-01-01,77938.00
1963-04-01,79858.00
1963-07-01,80357.00
1963-10-01,84802.00
1964-01-01,85661.00
1964-04-01,88448.0
1964-07-01,89761.00
1964-10-01,94392.00
1965-01-01,98084.0
1965-04-01,102184.0
1965-07-01,103575.00
1965-10-01,110136.00
1966-01-01,112566.00
1966-04-01,118663.00
1966-07-01,119907.00
1966-10-01,123828.00
1967-01-01,125358.00
1967-04-01,128539.00
1967-07-01,127532.00
1967-10-01,130079.00
1968-01-01,134278.0
1968-04-01,138539.00
1968-07-01,139162.0
1968-10-01,146800.00
1969-01-01,149814.00
1969-04-01,157072.00
1969-07-01,159611.00
1969-10-01,166523.00
1970-01-01,181106.00
1970-04-01,187854.0
1970-07-01,187596.00
1970-10-01,189495.00
1971-01-01,189253.0
1971-04-01,194719.0
1971-07-01,197114.00
1971-10-01,200340.00
1972-01-01,205318.00
1972-04-01,211022.00
1972-07-01,214340.0
1972-10-01,226463.00
1973-01-01,238367.0
1973-04-01,251929.00
1973-07-01,265091.0
1973-10-01,279716.00
1974-01-01,287422.0
1974-04-01,300266.00
1974-07-01,302541.00
1974-10-01,309896.00
1975-01-01,302346.0
1975-04-01,301535.0
1975-07-01,299219.0
1975-10-01,302588.00
1976-01-01,297876.0
1976-04-01,304962.0
1976-07-01,307742.00
1976-10-01,317520.00
1977-01-01,324556.0
1977-04-01,337263.0
1977-07-01,343178.00
1977-10-01,360646.00
1978-01-01,373188.00
1978-04-01,388002.00
1978-07-01,391531.0
1978-10-01,404909.00
1979-01-01,419215.0
1979-04-01,434688.0
1979-07-01,444430.00
1979-10-01,454311.0
1980-01-01,463301.00
1980-04-01,449536.0
1980-07-01,455202.00
1980-10-01,480124.00
1981-01-01,484523.00
1981-04-01,507180.0
1981-07-01,530188.0
1981-10-01,546304.00
1982-01-01,558640.0
1982-04-01,578245.0
1982-07-01,588616.00
1982-10-01,596857.0
1983-01-01,615358.00
1983-04-01,627543.00
1983-07-01,642850.0
1983-10-01,679591.0
1984-01-01,708296.00
1984-04-01,746236.0
1984-07-01,761974.0
1984-10-01,799981.00
1985-01-01,803627.00
1985-04-01,812051.00
1985-07-01,818612.0
1985-10-01,861463.00
1986-01-01,875229.0
1986-04-01,898790.0
1986-07-01,913599.0
1986-10-01,979134.0
1987-01-01,998040.0
1987-04-01,1024118.0
1987-07-01,1041748.0
1987-10-01,1077438.0
1988-01-01,1106818.0
1988-04-01,1129603.0
1988-07-01,1134089.0
1988-10-01,1175888.0
1989-01-01,1210886.0
1989-04-01,1238318.0
1989-07-01,1239848.0
1989-10-01,1271540.0
1990-01-01,1303087.0
1990-04-01,1323082.0
1990-07-01,1332581.0
1990-10-01,1345217.0
1991-01-01,1316207.0
1991-04-01,1295069.0
1991-07-01,1265655.0
1991-10-01,1227244.0
1992-01-01,1216136.0
1992-04-01,1197568.0
1992-07-01,1181194.0
1992-10-01,1165105.0
1993-01-01,1143794.0
1993-04-01,1127962.0
1993-07-01,1109696.0
1993-10-01,1110098.0
1994-01-01,1135926.0
1994-04-01,1149514.0
1994-07-01,1162415.0
1994-10-01,1188659.0
1995-01-01,1236770.0
1995-04-01,1264450.0
1995-07-01,1273637.0
1995-10-01,1308811.0
1996-01-01,1316206.0
1996-04-01,1337082.0
1996-07-01,1358221.0
1996-10-01,1368399.0
1997-01-01,1393914.0
1997-04-01,1413577.0
1997-07-01,1441728.0
1997-10-01,1500906.0
1998-01-01,1517453.0
1998-04-01,1543899.0
1998-07-01,1568944.0
1998-10-01,1643212.0
1999-01-01,1694783.0
1999-04-01,1700755.0
1999-07-01,1761232.0
1999-10-01,1800604.0
2000-01-01,1857156.0
2000-04-01,1908936.0
2000-07-01,1908423.0
2000-10-01,1957792.0
2001-01-01,1920705.0
2001-04-01,1918483.0
2001-07-01,1921325.0
2001-10-01,1894771.0
2002-01-01,1873563.0
2002-04-01,1854984.0
2002-07-01,1860880.0
2002-10-01,1879250.0
2003-01-01,1864060.0
2003-04-01,1848618.0
2003-07-01,1834885.0
2003-10-01,1846066.0
2004-01-01,1855946.0
2004-04-01,1880734.0
2004-07-01,1919804.0
2004-10-01,1992203.0
2005-01-01,2024403.0
2005-04-01,2114296.0
2005-07-01,2143460.0
2005-10-01,2260830.0
2006-01-01,2311473.0
2006-04-01,2378127.0
2006-07-01,2406228.0
2006-10-01,2512551.0
2007-01-01,2568523.0
2007-04-01,2668804.0
2007-07-01,2851341.0
2007-10-01,2976719.0
2008-01-01,3038105.0
2008-04-01,3070268.0
2008-07-01,3088422.0
2008-10-01,3033286.0
2009-01-01,2882275.0
2009-04-01,2780483.0
2009-07-01,2643356.0
2009-10-01,2450166.0
2010-01-01,2350054.0
2010-04-01,2239850.0
2010-07-01,2195108.0
2010-10-01,2102203.0
2011-01-01,2070707.0
2011-04-01,2097842.0
2011-07-01,2135253.0
2011-10-01,2211636.0
2012-01-01,2163413.0
2012-04-01,2155429.0
2012-07-01,2179552.0
2012-10-01,2202498.0
2013-01-01,2190787.0
2013-04-01,2254040.0
2013-07-01,2278274.0
2013-10-01,2339414.0
2014-01-01,2364335.0
2014-04-01,2385226.0
2014-07-01,2427051.0
2014-10-01,2504732.0
2015-01-01,2553534.0
2015-04-01,2607413.0
2015-07-01,2585708.0
2015-10-01,2656623.0
2016-01-01,2692147.0
2016-04-01,2655278.0
2016-07-01,2676952.0
2016-10-01,2631133.0
2017-01-01,2661670.0
2017-04-01,2701518.0
2017-07-01,2676410.0
2017-10-01,2800671.0
2018-01-01,2807424.0
2018-04-01,3177455.0
2018-07-01,3211043.0
2018-10-01,3339303.0
2019-01-01,3422125.0
2019-04-01,3462651.0
2019-07-01,3506502.0
2019-10-01,3550343.0
2020-01-01,3978645.0
2020-04-01,4017557.0
2020-07-01,3864735.0
2020-10-01,3861573.0
2021-01-01,3940240.0
2021-04-01,3923291.0
2021-07-01,4016060.0
2021-10-01,4260075.0
