DATE,TOTALSL
1943-01-01,6.57783
1943-02-01,6.46304
1943-03-01,6.23421
1943-04-01,6.12575
1943-05-01,5.93626
1943-06-01,5.82223
1943-07-01,5.71837
1943-08-01,5.63875
1943-09-01,5.64759
1943-10-01,5.65074
1943-11-01,5.57687
1943-12-01,5.46252
1944-01-01,5.39857
1944-02-01,5.35436
1944-03-01,5.37036
1944-04-01,5.37918
1944-05-01,5.4305
1944-06-01,5.46779
1944-07-01,5.4982
1944-08-01,5.53396
1944-09-01,5.54923
1944-10-01,5.56593
1944-11-01,5.5701
1944-12-01,5.58569
1945-01-01,5.60273
1945-02-01,5.57381
1945-03-01,5.66769
1945-04-01,5.58245
1945-05-01,5.60525
1945-06-01,5.70445
1945-07-01,5.74878
1945-08-01,5.76701
1945-09-01,5.75827
1945-10-01,5.93202
1945-11-01,6.09555
1945-12-01,6.56705
1946-01-01,6.50451
1946-02-01,6.76595
1946-03-01,7.00545
1946-04-01,7.33322
1946-05-01,7.53237
1946-06-01,7.70221
1946-07-01,7.93364
1946-08-01,8.34516
1946-09-01,8.5996
1946-10-01,8.89514
1946-11-01,9.21828
1946-12-01,9.44439
1947-01-01,9.7702
1947-02-01,10.0890
1947-03-01,10.34585
1947-04-01,10.64594
1947-05-01,10.92631
1947-06-01,11.13565
1947-07-01,11.36412
1947-08-01,11.58288
1947-09-01,11.8603
1947-10-01,12.20513
1947-11-01,12.53487
1947-12-01,12.85562
1948-01-01,13.22861
1948-02-01,13.52428
1948-03-01,13.92124
1948-04-01,14.26407
1948-05-01,14.50028
1948-06-01,14.77527
1948-07-01,15.04157
1948-08-01,15.2297
1948-09-01,15.51514
1948-10-01,15.57962
1948-11-01,15.60337
1948-12-01,15.80323
1949-01-01,15.9017
1949-02-01,16.00926
1949-03-01,16.09298
1949-04-01,16.4132
1949-05-01,16.6381
1949-06-01,16.86093
1949-07-01,17.0611
1949-08-01,17.35549
1949-09-01,17.69516
1949-10-01,18.02132
1949-11-01,18.43599
1949-12-01,18.77221
1950-01-01,19.05087
1950-02-01,19.37163
1950-03-01,19.73483
1950-04-01,20.14838
1950-05-01,20.62168
1950-06-01,21.11884
1950-07-01,22.08629
1950-08-01,22.72826
1950-09-01,23.17157
1950-10-01,23.24215
1950-11-01,23.25856
1950-12-01,23.22916
1951-01-01,23.7976
1951-02-01,24.10942
1951-03-01,24.28096
1951-04-01,24.07615
1951-05-01,23.99488
1951-06-01,23.84103
1951-07-01,23.70657
1951-08-01,23.94011
1951-09-01,24.09829
1951-10-01,24.28801
1951-11-01,24.63974
1951-12-01,24.62795
1952-01-01,24.80192
1952-02-01,25.15192
1952-03-01,25.19558
1952-04-01,25.54805
1952-05-01,26.14647
1952-06-01,26.76243
1952-07-01,27.21019
1952-08-01,27.46878
1952-09-01,27.86982
1952-10-01,28.49656
1952-11-01,29.04911
1952-12-01,29.68558
1953-01-01,30.47945
1953-02-01,30.88661
1953-03-01,31.63933
1953-04-01,32.11735
1953-05-01,32.43182
1953-06-01,32.50158
1953-07-01,32.7923
1953-08-01,33.06061
1953-09-01,33.25574
1953-10-01,33.48228
1953-11-01,33.55831
1953-12-01,33.69692
1954-01-01,34.0649
1954-02-01,33.70135
1954-03-01,33.50766
1954-04-01,33.7065
1954-05-01,33.7048
1954-06-01,33.81539
1954-07-01,34.0572
1954-08-01,34.00956
1954-09-01,34.13728
1954-10-01,34.36337
1954-11-01,34.60856
1954-12-01,35.02827
1955-01-01,35.37251
1955-02-01,35.92541
1955-03-01,36.53032
1955-04-01,37.23521
1955-05-01,37.73678
1955-06-01,38.53667
1955-07-01,39.02943
1955-08-01,39.73277
1955-09-01,40.39419
1955-10-01,40.83366
1955-11-01,41.36682
1955-12-01,41.86903
