,Series_ID,URLS
0,ASCMA,https://fred.stlouisfed.org/series/ASCMA
1,ASFMA,https://fred.stlouisfed.org/series/ASFMA
2,ASHMA,https://fred.stlouisfed.org/series/ASHMA
3,ASMRMA,https://fred.stlouisfed.org/series/ASMRMA
4,ASTDSL,https://fred.stlouisfed.org/series/ASTDSL
5,ASTLL,https://fred.stlouisfed.org/series/ASTLL
6,FBDSILQ027S,https://fred.stlouisfed.org/series/FBDSILQ027S
7,GDP,https://fred.stlouisfed.org/series/GDP
8,GFDEBTN,https://fred.stlouisfed.org/series/GFDEBTN
9,MVLOAS,https://fred.stlouisfed.org/series/MVLOAS
10,NCBDBIQ027S,https://fred.stlouisfed.org/series/NCBDBIQ027S
11,NCBLL,https://fred.stlouisfed.org/series/NCBLL
12,NNBLL,https://fred.stlouisfed.org/series/NNBLL
13,SLGSDODNS,https://fred.stlouisfed.org/series/SLGSDODNS
14,SLOAS,https://fred.stlouisfed.org/series/SLOAS
15,GFDEBTN,https://fred.stlouisfed.org/series/GFDEBTN
16,REVOLSL,https://fred.stlouisfed.org/series/REVOLSL
17,TOTALSL,https://fred.stlouisfed.org/series/TOTALSL
