DATE,CDSP
1980-01-01,6.240027
1980-04-01,6.151972
1980-07-01,5.913000
1980-10-01,5.740706
1981-01-01,5.691433
1981-04-01,5.693254
1981-07-01,5.586641
1981-10-01,5.576550
1982-01-01,5.562731
1982-04-01,5.573340
1982-07-01,5.519579
1982-10-01,5.504033
1983-01-01,5.498346
1983-04-01,5.525737
1983-07-01,5.527094
1983-10-01,5.555206
1984-01-01,5.583316
1984-04-01,5.673696
1984-07-01,5.746739
1984-10-01,5.835576
1985-01-01,6.000506
1985-04-01,6.029668
1985-07-01,6.187760
1985-10-01,6.243071
1986-01-01,6.234700
1986-04-01,6.269203
1986-07-01,6.318545
1986-10-01,6.363267
1987-01-01,6.226087
1987-04-01,6.243911
1987-07-01,6.150061
1987-10-01,6.073399
1988-01-01,6.018813
1988-04-01,5.969333
1988-07-01,5.899554
1988-10-01,5.842594
1989-01-01,5.811998
1989-04-01,5.872069
1989-07-01,5.845120
1989-10-01,5.763882
1990-01-01,5.635607
1990-04-01,5.540660
1990-07-01,5.481259
1990-10-01,5.419602
1991-01-01,5.355239
1991-04-01,5.238545
1991-07-01,5.137354
1991-10-01,5.017251
1992-01-01,4.867179
1992-04-01,4.774439
1992-07-01,4.702399
1992-10-01,4.660212
1993-01-01,4.652557
1993-04-01,4.648903
1993-07-01,4.705303
1993-10-01,4.755414
1994-01-01,4.831917
1994-04-01,4.924236
1994-07-01,5.035871
1994-10-01,5.120072
1995-01-01,5.248012
1995-04-01,5.394652
1995-07-01,5.523088
1995-10-01,5.594352
1996-01-01,5.653204
1996-04-01,5.675422
1996-07-01,5.712678
1996-10-01,5.777011
1997-01-01,5.725713
1997-04-01,5.703414
1997-07-01,5.718448
1997-10-01,5.705666
1998-01-01,5.628610
1998-04-01,5.672466
1998-07-01,5.687028
1998-10-01,5.761093
1999-01-01,5.799946
1999-04-01,5.906532
1999-07-01,5.975979
1999-10-01,5.960233
2000-01-01,5.949308
2000-04-01,6.048359
2000-07-01,6.172767
2000-10-01,6.318728
2001-01-01,6.425952
2001-04-01,6.577982
2001-07-01,6.553018
2001-10-01,6.733122
2002-01-01,6.630399
2002-04-01,6.572331
2002-07-01,6.548053
2002-10-01,6.488476
2003-01-01,6.476760
2003-04-01,6.433324
2003-07-01,6.343899
2003-10-01,6.355908
2004-01-01,6.353072
2004-04-01,6.290821
2004-07-01,6.308902
2004-10-01,6.231522
2005-01-01,6.312140
2005-04-01,6.258962
2005-07-01,6.183913
2005-10-01,6.113573
2006-01-01,6.090556
2006-04-01,5.972178
2006-07-01,5.930910
2006-10-01,5.918700
2007-01-01,5.912060
2007-04-01,5.929037
2007-07-01,5.964206
2007-10-01,5.989616
2008-01-01,5.988084
2008-04-01,5.831160
2008-07-01,5.860999
2008-10-01,5.836388
2009-01-01,5.788204
2009-04-01,5.628210
2009-07-01,5.577130
2009-10-01,5.408764
2010-01-01,5.282869
2010-04-01,5.115657
2010-07-01,5.018042
2010-10-01,5.015650
2011-01-01,5.054058
2011-04-01,5.039760
2011-07-01,5.010556
2011-10-01,5.010210
2012-01-01,4.926405
2012-04-01,4.909285
2012-07-01,4.983431
2012-10-01,4.873146
2013-01-01,5.127731
2013-04-01,5.148918
2013-07-01,5.171866
2013-10-01,5.208652
2014-01-01,5.216393
2014-04-01,5.234056
2014-07-01,5.265500
2014-10-01,5.297455
2015-01-01,5.330700
2015-04-01,5.412206
2015-07-01,5.490398
2015-10-01,5.427941
2016-01-01,5.421714
2016-04-01,5.519508
2016-07-01,5.594818
2016-10-01,5.640046
2017-01-01,5.636303
2017-04-01,5.640226
2017-07-01,5.655483
2017-10-01,5.687040
2018-01-01,5.659516
2018-04-01,5.628007
2018-07-01,5.650169
2018-10-01,5.667725
2019-01-01,5.687107
2019-04-01,5.752594
2019-07-01,5.787448
2019-10-01,5.802936
2020-01-01,5.756354
2020-04-01,5.124079
2020-07-01,5.327470
2020-10-01,5.444396
2021-01-01,4.865958
2021-04-01,5.326541
2021-07-01,5.401836
2021-10-01,5.494987
