DATE,ASTLL
1945-10-01,68962.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,83914.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,102297.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,116271.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,125401.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,148353.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,165649.0
1952-01-01,166068.0
1952-04-01,172187.0
1952-07-01,176135.0
1952-10-01,184056.0
1953-01-01,186133.0
1953-04-01,191916.0
1953-07-01,196278.0
1953-10-01,199281.0
1954-01-01,198381.0
1954-04-01,203024.0
1954-07-01,207223.0
1954-10-01,214656.0
1955-01-01,218638.0
1955-04-01,229372.0
1955-07-01,237407.0
1955-10-01,247242.0
1956-01-01,250819.0
1956-04-01,259232.0
1956-07-01,264031.0
1956-10-01,271722.0
1957-01-01,273125.0
1957-04-01,280737.0
1957-07-01,284932.0
1957-10-01,290595.0
1958-01-01,289466.0
1958-04-01,296020.0
1958-07-01,299026.0
1958-10-01,310245.0
1959-01-01,313893.0
1959-04-01,327018.0
1959-07-01,336232.0
1959-10-01,347866.0
1960-01-01,349880.0
1960-04-01,360974.0
1960-07-01,366810.0
1960-10-01,376713.0
1961-01-01,376828.0
1961-04-01,385815.0
1961-07-01,392890.0
1961-10-01,407404.0
1962-01-01,408668.0
1962-04-01,421642.0
1962-07-01,431083.0
1962-10-01,447069.0
1963-01-01,449574.0
1963-04-01,466758.0
1963-07-01,478891.0
1963-10-01,497080.0
1964-01-01,501504.0
1964-04-01,520230.0
1964-07-01,530488.0
1964-10-01,548562.0
1965-01-01,556881.0
1965-04-01,578142.0
1965-07-01,587312.0
1965-10-01,609161.0
1966-01-01,615871.0
1966-04-01,638625.0
1966-07-01,642935.0
1966-10-01,657781.0
1967-01-01,658331.0
1967-04-01,672887.0
1967-07-01,682194.0
1967-10-01,711556.0
1968-01-01,706528.0
1968-04-01,731422.0
1968-07-01,744673.0
1968-10-01,772004.0
1969-01-01,772224.0
1969-04-01,801229.0
1969-07-01,810160.0
1969-10-01,838599.0
1970-01-01,835736.0
1970-04-01,856074.0
1970-07-01,869138.0
1970-10-01,888774.0
1971-01-01,893866.0
1971-04-01,919841.0
1971-07-01,939524.0
1971-10-01,970062.0
1972-01-01,985729.0
1972-04-01,1023121.0
1972-07-01,1050443.0
1972-10-01,1101156.0
1973-01-01,1132183.0
1973-04-01,1182623.0
1973-07-01,1221698.0
1973-10-01,1260932.0
1974-01-01,1276419.0
1974-04-01,1330291.0
1974-07-01,1365149.0
1974-10-01,1396587.0
1975-01-01,1385743.0
1975-04-01,1405014.0
1975-07-01,1421112.0
1975-10-01,1456315.0
1976-01-01,1467012.0
1976-04-01,1508269.0
1976-07-01,1543837.0
1976-10-01,1600289.0
1977-01-01,1623458.0
1977-04-01,1687419.0
1977-07-01,1745439.0
1977-10-01,1823902.0
1978-01-01,1865088.0
1978-04-01,1954614.0
1978-07-01,2027911.0
1978-10-01,2116102.0
1979-01-01,2160332.0
1979-04-01,2261353.0
1979-07-01,2355501.0
1979-10-01,2437233.0
1980-01-01,2488738.0
1980-04-01,2515095.0
1980-07-01,2580042.0
1980-10-01,2678691.0
1981-01-01,2704531.0
1981-04-01,2797627.0
1981-07-01,2873886.0
1981-10-01,2965257.0
1982-01-01,2993446.0
1982-04-01,3071779.0
1982-07-01,3112027.0
1982-10-01,3174202.0
1983-01-01,3192968.0
1983-04-01,3278029.0
1983-07-01,3373992.0
1983-10-01,3480875.0
1984-01-01,3566209.0
1984-04-01,3719501.0
1984-07-01,3830175.0
1984-10-01,3979334.0
1985-01-01,4069212.0
1985-04-01,4196168.0
1985-07-01,4314553.0
1985-10-01,4480089.0
1986-01-01,4535872.0
1986-04-01,4655415.0
1986-07-01,4779720.0
1986-10-01,4962980.0
1987-01-01,4987746.0
1987-04-01,5124430.0
1987-07-01,5231987.0
1987-10-01,5338625.0
1988-01-01,5421148.0
1988-04-01,5564728.0
1988-07-01,5661984.0
1988-10-01,5797677.0
1989-01-01,5885137.0
1989-04-01,6013377.0
1989-07-01,6086506.0
1989-10-01,6206854.0
1990-01-01,6280194.0
1990-04-01,6368501.0
1990-07-01,6431839.0
1990-10-01,6506213.0
1991-01-01,6473610.0
1991-04-01,6503894.0
1991-07-01,6495261.0
