DATE,MVLOAS
1943-01-01,0.4740
1943-04-01,0.3840
1943-07-01,0.3530
1943-10-01,0.3390
1944-01-01,0.3240
1944-04-01,0.3520
1944-07-01,0.3800
1944-10-01,0.3780
1945-01-01,0.3650
1945-04-01,0.3720
1945-07-01,0.3890
1945-10-01,0.4430
1946-01-01,0.5120
1946-04-01,0.6490
1946-07-01,0.7890
1946-10-01,0.9680
1947-01-01,1.2070
1947-04-01,1.4780
1947-07-01,1.6630
1947-10-01,1.8970
1948-01-01,2.2100
1948-04-01,2.5330
1948-07-01,2.8590
1948-10-01,2.9650
1949-01-01,3.1260
1949-04-01,3.6540
1949-07-01,4.1500
1949-10-01,4.4780
1950-01-01,4.7930
1950-04-01,5.4310
1950-07-01,6.1300
1950-10-01,6.0150
1951-01-01,5.8410
1951-04-01,5.9740
1951-07-01,6.1340
1951-10-01,5.9580
1952-01-01,5.8040
1952-04-01,6.6160
1952-07-01,6.9900
1952-10-01,7.6350
1953-01-01,8.2840
1953-04-01,9.1070
1953-07-01,9.6280
1953-10-01,9.6850
1954-01-01,9.2890
1954-04-01,9.5110
1954-07-01,9.6990
1954-10-01,9.7470
1955-01-01,10.3540
1955-04-01,11.7340
1955-07-01,13.0350
1955-10-01,13.4710
1956-01-01,13.7580
1956-04-01,14.2750
1956-07-01,14.5620
1956-10-01,14.4840
1957-01-01,14.5060
1957-04-01,15.0490
1957-07-01,15.4980
1957-10-01,15.4720
1958-01-01,14.8690
1958-04-01,14.6810
1958-07-01,14.4400
1958-10-01,14.2580
1959-01-01,14.4780
1959-04-01,15.4960
1959-07-01,16.4520
1959-10-01,16.6320
1960-01-01,16.9100
1960-04-01,17.8470
1960-07-01,18.1730
1960-10-01,18.0830
1961-01-01,17.5160
1961-04-01,17.6540
1961-07-01,17.5130
1961-10-01,17.5990
1962-01-01,17.7290
1962-04-01,18.8490
1962-07-01,19.3620
1962-10-01,19.9240
1963-01-01,20.3530
1963-04-01,21.6770
1963-07-01,22.2820
1963-10-01,22.8420
1964-01-01,23.2950
1964-04-01,24.7580
1964-07-01,25.4680
1964-10-01,25.8170
1965-01-01,26.3200
1965-04-01,27.9410
1965-07-01,28.8430
1965-10-01,29.3550
1966-01-01,29.5450
1966-04-01,30.5530
1966-07-01,30.7850
1966-10-01,30.9920
1967-01-01,30.5500
1967-04-01,31.2140
1967-07-01,31.2510
1967-10-01,31.1310
1968-01-01,31.2520
1968-04-01,32.6300
1968-07-01,33.5830
1968-10-01,34.3480
1969-01-01,34.5680
1969-04-01,36.2540
1969-07-01,36.7280
1969-10-01,36.9460
1970-01-01,36.1190
1970-04-01,36.5880
1970-07-01,37.0470
1970-10-01,36.3250
1971-01-01,36.3960
1971-04-01,38.1390
1971-07-01,39.4120
1971-10-01,40.5190
1972-01-01,42.6720
1972-04-01,45.3170
1972-07-01,46.7720
1972-10-01,47.8620
1973-01-01,48.9040
1973-04-01,51.6210
1973-07-01,53.3910
1973-10-01,53.7720
1974-01-01,52.8340
1974-04-01,54.2410
1974-07-01,55.5570
1974-10-01,54.2660
1975-01-01,53.0850
1975-04-01,53.9350
1975-07-01,55.8620
1975-10-01,57.0160
1976-01-01,58.3320
1976-04-01,62.2270
1976-07-01,65.2370
1976-10-01,66.7980
1977-01-01,68.7870
1977-04-01,73.9190
1977-07-01,78.4680
1977-10-01,80.8940
1978-01-01,83.5790
1978-04-01,90.6680
1978-07-01,95.8050
1978-10-01,98.6600
1979-01-01,102.2400
1979-04-01,107.6210
1979-07-01,111.4530
1979-10-01,112.4200
1980-01-01,113.4130
1980-04-01,111.9000
1980-07-01,112.3990
1980-10-01,111.9710
1981-01-01,112.7300
1981-04-01,115.3230
1981-07-01,120.0590
1981-10-01,119.7440
1982-01-01,119.8060
1982-04-01,123.4830
1982-07-01,124.7310
1982-10-01,127.4810
1983-01-01,127.3700
1983-04-01,133.3270
1983-07-01,141.1780
1983-10-01,146.2370
1984-01-01,151.6980
1984-04-01,161.9840
1984-07-01,170.3680
1984-10-01,175.3330
1985-01-01,182.2900
1985-04-01,193.9970
1985-07-01,207.0950
1985-10-01,211.7470
1986-01-01,214.8700
1986-04-01,227.1020
1986-07-01,244.5930
1986-10-01,247.9210
1987-01-01,246.3720
1987-04-01,254.7200
1987-07-01,266.0000
1987-10-01,266.5520
1988-01-01,270.1290
1988-04-01,278.0490
1988-07-01,286.3510
1988-10-01,285.4209
1989-01-01,285.3310
1989-04-01,290.4310
1989-07-01,293.2920
1989-10-01,290.8850
1990-01-01,287.5020
1990-04-01,289.6370
1990-07-01,290.2580
1990-10-01,283.8910
1991-01-01,275.3960
1991-04-01,269.1040
1991-07-01,267.3630
1991-10-01,264.2140
