DATE,SLGSDODNS
1945-10-01,12.635
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,12.683
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,14.313
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,15.717
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,16.618
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,21.21
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,23.586
1952-01-01,25.668
1952-04-01,28.366
1952-07-01,29.557
1952-10-01,30.795
1953-01-01,32.014
1953-04-01,33.261
1953-07-01,34.518
1953-10-01,35.786
1954-01-01,37.064
1954-04-01,38.389
1954-07-01,39.708
1954-10-01,41.102
1955-01-01,42.478
1955-04-01,43.755
1955-07-01,44.985
1955-10-01,46.148
1956-01-01,47.266
1956-04-01,48.373
1956-07-01,49.397
1956-10-01,50.381
1957-01-01,51.373
1957-04-01,52.48
1957-07-01,53.679
1957-10-01,55.039
1958-01-01,56.406
1958-04-01,57.80
1958-07-01,59.14
1958-10-01,60.669
1959-01-01,62.113
1959-04-01,63.661
1959-07-01,65.374
1959-10-01,66.696
1960-01-01,68.172
1960-04-01,69.588
1960-07-01,70.98
1960-10-01,72.211
1961-01-01,73.606
1961-04-01,74.707
1961-07-01,76.293
1961-10-01,77.815
1962-01-01,79.561
1962-04-01,80.955
1962-07-01,82.167
1962-10-01,83.77
1963-01-01,85.058
1963-04-01,86.806
1963-07-01,87.921
1963-10-01,89.243
1964-01-01,90.515
1964-04-01,92.243
1964-07-01,93.99
1964-10-01,95.624
1965-01-01,97.375
1965-04-01,99.513
1965-07-01,101.463
1965-10-01,103.174
1966-01-01,104.883
1966-04-01,107.014
1966-07-01,108.539
1966-10-01,110.037
1967-01-01,111.492
1967-04-01,113.588
1967-07-01,115.686
1967-10-01,117.372
1968-01-01,119.116
1968-04-01,121.058
1968-07-01,122.992
1968-10-01,126.125
1969-01-01,130.135
1969-04-01,133.43
1969-07-01,136.12
1969-10-01,138.257
1970-01-01,140.36
1970-04-01,143.574
1970-07-01,145.981
1970-10-01,150.317
1971-01-01,154.69
1971-04-01,158.87
1971-07-01,162.626
1971-10-01,166.747
1972-01-01,171.169
1972-04-01,174.359
1972-07-01,177.442
