,Series_ID,URLS
0,ASCMA,https://fred.stlouisfed.org/series/ASCMA
1,ASFMA,https://fred.stlouisfed.org/series/ASFMA
2,ASHMA,https://fred.stlouisfed.org/series/ASHMA
3,ASMRMA,https://fred.stlouisfed.org/series/ASMRMA
4,FBDSILQ027S,https://fred.stlouisfed.org/series/FBDSILQ027S
5,MVLOAS,https://fred.stlouisfed.org/series/MVLOAS
6,NCBDBIQ027S,https://fred.stlouisfed.org/series/NCBDBIQ027S
7,NCBLL,https://fred.stlouisfed.org/series/NCBLL
8,NNBLL,https://fred.stlouisfed.org/series/NNBLL
9,SLGSDODNS,https://fred.stlouisfed.org/series/SLGSDODNS
10,SLOAS,https://fred.stlouisfed.org/series/SLOAS
11,GFDEBTN,https://fred.stlouisfed.org/series/GFDEBTN
12,REVOLSL,https://fred.stlouisfed.org/series/REVOLSL
13,TOTALSL,https://fred.stlouisfed.org/series/TOTALSL
