Series_ID,URLS
ASCMA,https://fred.stlouisfed.org/series/ASCMA
ASFMA,https://fred.stlouisfed.org/series/ASFMA
ASHMA,https://fred.stlouisfed.org/series/ASHMA
ASMRMA,https://fred.stlouisfed.org/series/ASMRMA
ASTDSL,https://fred.stlouisfed.org/series/ASTDSL
ASTLL,https://fred.stlouisfed.org/series/ASTLL
FBDSILQ027S,https://fred.stlouisfed.org/series/FBDSILQ027S
FBLL,https://fred.stlouisfed.org/series/FBLL
FGDSLAQ027S,https://fred.stlouisfed.org/series/FGDSLAQ027S
GDP,https://fred.stlouisfed.org/series/GDP
GFDEBTN,https://fred.stlouisfed.org/series/GFDEBTN
MVLOAS,https://fred.stlouisfed.org/series/MVLOAS
NCBDBIQ027S,https://fred.stlouisfed.org/series/NCBDBIQ027S
NCBLL,https://fred.stlouisfed.org/series/NCBLL
NNBLL,https://fred.stlouisfed.org/series/NNBLL
SLGSDODNS,https://fred.stlouisfed.org/series/SLGSDODNS
SLOAS,https://fred.stlouisfed.org/series/SLOAS
GFDEBTN,https://fred.stlouisfed.org/series/GFDEBTN
REVOLSL,https://fred.stlouisfed.org/series/REVOLSL
TOTALSL,https://fred.stlouisfed.org/series/TOTALSL
